HIP,VMAG,RA_DEG,DEC_DEG
 30973, 6.28,97.51253886,-65.56838774
112533, 6.49,341.89877427,-65.56023545
 59003, 6.30,181.47344937,-65.54687537
 81252, 5.50,248.93654572,-65.49532908
 87564, 6.48,268.32590763,-65.48844303
  3330, 5.38,10.61790472,-65.46813002
  4879, 6.25,15.67872783,-65.45611076
 13429, 6.47,43.22769897,-65.45525503
 77390, 5.54,236.9712309,-65.44218988
  9149, 6.36,29.47237594,-65.42468427
 56862, 5.01,174.87347083,-65.3977489
 82517, 6.12,252.97451958,-65.37542484
105858, 4.21,321.61038385,-65.36814438
 64094, 5.44,197.02982892,-65.30601741
 64790, 6.06,199.18769159,-65.1381259
 74047, 6.18,226.98645795,-65.27543844
 94770, 6.42,289.25219158,-65.2276441
 57851, 4.89,177.96363695,-65.20589445
 51327, 6.42,157.26529712,-65.17633489
 50562, 6.35,154.92517522,-65.13724358
  2889, 6.43,9.15663761,-65.12442483
 52221, 5.51,160.0477648,-65.10024026
 92294, 5.71,282.15815797,-65.07748945
 48002, 2.92,146.7755734,-65.07201888
 78279, 5.74,239.74233223,-65.03756903
 71908, 3.18,220.62785433,-64.97456957
110838, 4.51,336.83280453,-64.96637927
 55597, 5.09,170.83929752,-64.95473134
 46328, 6.05,141.68408799,-64.9298568
 92024, 4.78,281.36190079,-64.87089771
 54289, 6.39,166.60133089,-64.83995575
106818, 6.22,324.51168571,-64.82414493
 17440, 3.84,56.04814541,-64.80709398
 86929, 3.61,266.43334347,-64.7237345
107773, 5.62,327.50054328,-64.7124436
105148, 6.32,319.50193998,-64.68151068
 50520, 5.66,154.77133097,-64.67628786
 65783, 6.09,202.28326682,-64.67577724
 91733, 6.35,280.59428923,-64.64297471
 59072, 4.14,181.72022021,-64.61363898
 41321, 5.95,126.46507032,-64.60065452
 55280, 5.99,169.8201814,-64.58259742
 66681, 5.79,205.04500863,-64.57655426
 91854, 5.76,280.90549491,-64.55131121
 88815, 6.40,271.95156071,-64.55003748
 65387, 4.52,201.00184737,-64.53561699
 75665, 5.71,231.88792069,-64.531457
 52678, 5.33,161.56907694,-64.51458587
 36346, 6.38,112.21417299,-64.5097841
 44665, 6.37,136.53170821,-64.49992086
 65479, 5.32,201.30889897,-64.48509219
 52370, 4.76,160.55893343,-64.4664538
 59678, 6.20,183.57055472,-64.40851906
117088, 5.73,356.05010877,-64.40453515
 52419, 2.74,160.73927802,-64.39447937
 52736, 4.87,161.71351737,-64.38349702
  6631, 5.92,21.27198122,-64.3694363
 60851, 6.05,187.08046209,-64.34096078
 58427, 5.59,179.69861981,-64.33955671
 11479, 6.35,37.01808014,-64.29978331
118121, 5.00,359.39571557,-64.29808259
 52701, 5.23,161.62337904,-64.26326386
 52815, 6.46,161.97312616,-64.26286554
 52487, 5.74,160.96339384,-64.24905176
 26001, 5.34,83.24801962,-64.22751422
 19233, 6.37,61.83871877,-64.22310952
 51313, 5.27,157.21915426,-64.17228466
 54767, 5.22,168.18862745,-64.16978296
 52160, 6.33,159.84522693,-64.11181305
 40926, 6.11,125.28186889,-64.10595398
 13884, 4.98,44.69902505,-64.07129717
 80645, 5.28,246.98864198,-64.05800515
 27660, 6.35,87.84625475,-64.03360643
 73776, 5.16,226.20020549,-64.03137307
 60009, 4.06,184.609553,-64.00304555
 55779, 5.18,171.4315173,-63.97231572
 52502, 4.80,161.02890478,-63.9611007
104364, 5.75,317.13627084,-63.92827112
 25781, 6.19,82.56610896,-63.92782972
 89805, 6.17,274.91699348,-63.88589103
 30524, 6.26,96.23252208,-63.82817363
 72773, 5.91,223.14695946,-63.80981741
 39843, 6.32,122.10271092,-63.80083385
 60771, 6.02,186.85352338,-63.78895978
 57669, 4.30,177.42120019,-63.78848906
 78476, 6.42,240.29466406,-63.77652924
 12871, 5.73,41.36438582,-63.70453152
 89370, 6.47,273.56814899,-63.689541
 68191, 4.71,209.41223681,-63.68661603
 79664, 3.86,243.85944228,-63.68564897
 30352, 6.30,95.75615393,-63.68317619
 88866, 4.33,272.14496186,-63.66804844
 74181, 6.25,227.35639755,-63.64288115
 74837, 4.85,229.41203255,-63.61048662
 39138, 4.81,120.08320513,-63.56750271
 56050, 6.45,172.3131,-63.55394067
 61158, 5.96,187.98397037,-63.50589876
 18401, 6.14,59.01624183,-63.46384651
 77952, 2.83,238.78670013,-63.42974973
 30480, 6.45,96.11071103,-63.42864724
 99762, 6.09,303.61232254,-63.41586405
 23840, 5.19,76.89171306,-63.39957018
 20384, 5.24,65.47173239,-63.38681514
 56769, 6.46,174.58487608,-63.37275081
 58758, 4.32,180.75707974,-63.31294495
 64395, 6.32,197.97114319,-63.30298568
 38863, 6.14,119.30316882,-63.2968807
 58103, 5.89,178.75009496,-63.27917897
 82806, 5.99,253.85282694,-63.26962566
 20020, 5.88,64.41777199,-63.25549171
100165, 6.27,304.76254422,-63.23056312
 22081, 6.46,71.24130644,-63.2297076
 69065, 6.39,212.05947093,-63.20803604
 34780, 6.03,108.00825571,-63.1900541
112924, 6.14,343.04158192,-63.18856825
 58867, 4.72,181.08015725,-63.16571094
 51265, 6.42,157.07617385,-63.16457309
 80455, 6.14,246.34229561,-63.12523806
101684, 6.34,309.15969219,-63.12076434
115908, 5.66,352.25387551,-63.11062274
 60718, 0.77,186.64975585,-63.09905586
 27890, 4.65,88.52458376,-63.09102096
 62027, 5.27,190.70951152,-63.058616
 89487, 5.58,273.91942956,-63.05530804
 85480, 6.22,262.03282619,-63.03618478
  2578, 5.07,8.18247614,-63.03137868
 90304, 6.13,276.38178872,-63.02128653
 56561, 3.11,173.94553448,-63.01982488
 72000, 6.39,220.86727519,-62.96665949
  2487, 4.53,7.88898014,-62.96544985
  2484, 4.36,7.88566992,-62.95808549
118092, 5.95,359.33241721,-62.95661191
 59517, 5.91,183.0916103,-62.95077296
 47422, 6.40,144.93812076,-62.94296853
 16245, 4.71,52.34244352,-62.93843436
 40429, 5.16,123.81647486,-62.91561677
 13387, 6.03,43.07894232,-62.90959822
101965, 6.22,309.96549309,-62.90759808
 57211, 6.10,175.970101,-62.87824289
 72131, 5.36,221.32186138,-62.87545275
  4200, 5.73,13.40741156,-62.87135327
 85147, 5.69,261.00448429,-62.86413165
 42286, 5.45,129.3285274,-62.85341217
 39530, 6.25,121.17891287,-62.83637455
 58469, 6.34,179.85677288,-62.83094991
 21253, 5.79,68.39208243,-62.82363051
 13141, 5.25,42.2556956,-62.80659207
 93012, 6.47,284.22791532,-62.80191774
 73129, 5.08,224.18334308,-62.78098762
 48310, 5.56,147.73165865,-62.74513696
114699, 6.12,348.52491363,-62.69897068
 57741, 5.68,177.61368682,-62.6493833
 77817, 6.22,238.34557097,-62.60654867
 67261, 6.40,206.79529414,-62.58970553
 15330, 5.53,49.43528798,-62.57689893
 56961, 6.32,175.15421034,-62.56810342
 81823, 6.23,250.7017491,-62.55390958
 78603, 6.25,240.71887986,-62.54152474
